"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","27-Feb-2020","       1826.65","       1829.85","       1852.00","       1810.45","       1843.10","       1843.80","       1830.02","    1643273","          3007218467.15","      87976","     787083","         47.90"
"ASIANPAINT","EQ","28-Feb-2020","       1843.80","       1820.00","       1842.10","       1783.15","       1810.00","       1797.95","       1805.79","    2964119","          5352586443.95","     104123","    1546134","         52.16"
"ASIANPAINT","EQ","02-Mar-2020","       1797.95","       1815.10","       1837.45","       1769.25","       1785.10","       1786.80","       1813.71","    1219296","          2211444937.20","      61230","     471228","         38.65"
"ASIANPAINT","EQ","03-Mar-2020","       1786.80","       1780.05","       1818.00","       1767.00","       1804.05","       1800.55","       1798.61","    1392463","          2504502817.65","      64533","     587106","         42.16"
"ASIANPAINT","EQ","04-Mar-2020","       1800.55","       1804.05","       1857.45","       1804.05","       1840.00","       1847.95","       1841.76","    3050469","          5618222983.85","     177363","    1563412","         51.25"
"ASIANPAINT","EQ","05-Mar-2020","       1847.95","       1854.00","       1882.00","       1852.10","       1877.00","       1874.45","       1871.41","    2062439","          3859666392.80","      74924","     967895","         46.93"
"ASIANPAINT","EQ","06-Mar-2020","       1874.45","       1840.00","       1884.40","       1835.00","       1882.00","       1877.45","       1868.09","    1393659","          2603485184.40","      69406","     532675","         38.22"
"ASIANPAINT","EQ","09-Mar-2020","       1877.45","       1888.00","       1915.90","       1848.00","       1864.00","       1867.15","       1872.91","    3420762","          6406788079.45","     129045","    1641471","         47.99"
"ASIANPAINT","EQ","11-Mar-2020","       1867.15","       1874.95","       1905.00","       1851.50","       1882.90","       1882.85","       1878.83","    3194206","          6001364037.20","     176355","    1797375","         56.27"
"ASIANPAINT","EQ","12-Mar-2020","       1882.85","       1864.95","       1874.80","       1815.00","       1852.95","       1843.35","       1842.17","    6254349","         11521562913.20","     258794","    4388982","         70.17"
"ASIANPAINT","EQ","13-Mar-2020","       1843.35","       1785.00","       1843.75","       1669.85","       1797.75","       1797.70","       1776.34","    3878660","          6889832169.50","     181105","    1798799","         46.38"
"ASIANPAINT","EQ","16-Mar-2020","       1797.70","       1777.00","       1777.00","       1678.15","       1683.45","       1683.40","       1724.63","    2867373","          4945148921.90","     136830","    1434515","         50.03"
"ASIANPAINT","EQ","17-Mar-2020","       1683.40","       1699.00","       1779.80","       1670.00","       1720.00","       1731.60","       1740.41","    2643191","          4600229501.40","     121360","    1082987","         40.97"
"ASIANPAINT","EQ","18-Mar-2020","       1731.60","       1732.00","       1758.55","       1608.00","       1620.00","       1618.20","       1654.66","    3677445","          6084935234.95","     163026","    1898757","         51.63"
"ASIANPAINT","EQ","19-Mar-2020","       1618.20","       1540.00","       1653.95","       1431.20","       1603.00","       1601.20","       1535.64","    4906647","          7534853574.40","     215886","    1919539","         39.12"
