"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPORTS","EQ","11-Oct-2019","        399.90","        401.25","        410.25","        395.90","        409.00","        409.05","        404.78","    2283201","           924202003.05","      34433","     728513","         31.91"
"ADANIPORTS","EQ","14-Oct-2019","        409.05","        410.90","        413.00","        404.80","        405.80","        407.45","        410.12","    3313476","          1358916498.05","      30820","    1949696","         58.84"
"ADANIPORTS","EQ","15-Oct-2019","        407.45","        408.85","        414.50","        407.45","        413.55","        413.75","        412.37","    2434978","          1004108166.80","      31421","    1142553","         46.92"
"ADANIPORTS","EQ","16-Oct-2019","        413.75","        413.00","        413.75","        403.60","        409.00","        410.00","        407.49","    2008661","           818501653.25","      43628","     724085","         36.05"
"ADANIPORTS","EQ","17-Oct-2019","        410.00","        409.10","        411.20","        404.60","        407.95","        409.15","        407.92","    2478950","          1011201585.50","      41861","     925341","         37.33"
"ADANIPORTS","EQ","18-Oct-2019","        409.15","        410.00","        423.80","        408.00","        422.20","        421.70","        418.44","    4047650","          1693702364.30","      58671","    1220085","         30.14"
"ADANIPORTS","EQ","22-Oct-2019","        421.70","        421.50","        428.85","        417.10","        420.60","        420.75","        423.79","    2380735","          1008930875.80","      36089","     560445","         23.54"
"ADANIPORTS","EQ","23-Oct-2019","        420.75","        418.00","        419.00","        395.00","        395.10","        396.10","        399.70","    6752056","          2698780818.40","      66672","    1754932","         25.99"
"ADANIPORTS","EQ","24-Oct-2019","        396.10","        399.00","        401.45","        393.35","        398.55","        399.15","        399.21","    6433637","          2568374681.90","      48660","    2130282","         33.11"
"ADANIPORTS","EQ","25-Oct-2019","        399.15","        402.95","        402.95","        396.85","        397.60","        398.95","        399.82","    3272059","          1308219503.20","      27005","    1473825","         45.04"
"ADANIPORTS","EQ","27-Oct-2019","        398.95","        402.25","        402.25","        398.55","        399.50","        399.80","        400.41","     110114","            44090422.35","       2102","      38034","         34.54"
"ADANIPORTS","EQ","29-Oct-2019","        399.80","        401.00","        401.00","        398.15","        398.80","        398.95","        399.82","    2269051","           907221962.85","      35195","    1352503","         59.61"
"ADANIPORTS","EQ","30-Oct-2019","        398.95","        399.20","        405.00","        395.50","        398.15","        398.10","        400.49","    5590453","          2238917938.45","      48437","    2382285","         42.61"
"ADANIPORTS","EQ","31-Oct-2019","        398.10","        399.25","        400.00","        393.65","        395.90","        395.80","        396.41","    2529130","          1002566313.65","      27803","    1577945","         62.39"
"ADANIPORTS","EQ","01-Nov-2019","        395.80","        396.00","        397.25","        387.85","        388.30","        389.75","        391.58","    3665336","          1435262316.05","      37071","    2085262","         56.89"
"ADANIPORTS","EQ","04-Nov-2019","        389.75","        390.00","        394.95","        389.75","        391.50","        391.00","        392.49","    3146855","          1235117857.50","      43747","    1723136","         54.76"
"ADANIPORTS","EQ","05-Nov-2019","        391.00","        391.70","        392.90","        386.50","        389.50","        390.00","        389.48","    1395899","           543674301.55","      41318","     659023","         47.21"
"ADANIPORTS","EQ","06-Nov-2019","        390.00","        390.00","        394.40","        388.50","        391.00","        391.00","        391.96","    2277683","           892771152.55","      38573","    1225780","         53.82"
"ADANIPORTS","EQ","07-Nov-2019","        391.00","        390.50","        392.00","        388.05","        391.15","        390.45","        390.19","    1615593","           630389378.55","      22175","     840233","         52.01"
"ADANIPORTS","EQ","08-Nov-2019","        390.45","        391.20","        391.20","        385.50","        385.50","        386.15","        388.97","    1206504","           469297176.10","      16064","     480880","         39.86"
"ADANIPORTS","EQ","11-Nov-2019","        386.15","        386.15","        389.15","        382.50","        388.20","        387.90","        387.65","    2300763","           891894147.90","      34468","    1003975","         43.64"
"ADANIPORTS","EQ","13-Nov-2019","        387.90","        391.00","        391.80","        369.40","        370.80","        370.80","        378.84","    5392849","          2043015339.75","      60199","    1278533","         23.71"
"ADANIPORTS","EQ","14-Nov-2019","        370.80","        371.90","        374.10","        365.85","        368.20","        369.10","        370.13","    2662084","           985322863.55","      38410","    1257562","         47.24"
"ADANIPORTS","EQ","15-Nov-2019","        369.10","        369.10","        370.90","        365.50","        365.80","        366.30","        368.10","    2362065","           869478537.15","      42561","    1262202","         53.44"
